id,buyer_id,supplier_id,status,order_date,amount
66,84,78,shipped,2024-12-06,1284.46
67,34,9,delivered,2024-06-29,822195.48
68,35,59,returned,2025-03-14,108096.8
69,146,11,cancelled,2024-08-27,286550.24
70,127,11,delivered,2024-04-19,2260414.96
71,102,1,shipped,2024-12-30,218553.36
72,34,43,returned,2024-08-21,921503.02
73,112,14,delivered,2024-09-16,544539.01
74,150,13,shipped,2024-04-06,5432476.37
75,64,54,confirmed,2025-04-08,13061463.14
76,54,41,shipped,2024-06-13,360175.36
77,111,74,delivered,2024-11-22,176810837.23
78,107,22,cancelled,2025-02-28,858840.81
79,73,34,shipped,2024-03-09,1292103.3
80,156,48,shipped,2025-05-08,1162927.0
81,91,54,cancelled,2024-10-24,80246.52
82,132,80,pending,2025-05-01,66957.34
83,101,78,confirmed,2024-12-01,4839.86
84,159,49,shipped,2025-04-04,8750170.74
85,62,42,confirmed,2024-09-16,7277847.45
86,147,22,delivered,2024-10-01,73951.94
87,115,69,shipped,2024-08-06,237947.52
88,97,55,confirmed,2024-09-24,1024683.46
89,12,30,confirmed,2024-12-11,38506053.0
90,143,44,pending,2024-10-16,70456700.48
91,6,78,confirmed,2025-01-05,83892.96
92,146,42,shipped,2024-05-25,1852190.49
93,105,20,confirmed,2024-08-28,1243524.58
94,117,69,cancelled,2025-04-11,32289870.09
95,52,52,shipped,2024-06-27,5452882.95
96,1,52,shipped,2024-08-31,4450605.75
97,118,69,delivered,2024-03-02,901135.97
98,119,55,confirmed,2025-03-27,946994.0
99,3,9,confirmed,2024-03-11,1839002.58
100,44,69,delivered,2024-03-20,4455.93
101,17,2,shipped,2025-03-12,153864.94
102,154,48,delivered,2025-02-10,880821.85
103,151,68,confirmed,2025-05-04,55214731.15
104,69,41,confirmed,2024-11-25,555561.87
105,72,2,shipped,2025-05-10,1582459.47
106,100,63,returned,2025-02-21,38283354.48
107,154,39,confirmed,2025-03-24,3296407.94
108,54,23,delivered,2024-01-09,7194712.68
109,153,46,confirmed,2025-02-17,2254390.61
110,152,45,confirmed,2024-04-01,18444904.42
111,10,20,pending,2024-09-05,1392651.72
112,52,79,shipped,2024-10-25,212438.77
113,60,70,delivered,2024-03-02,3563637.17
114,14,1,cancelled,2024-06-22,9749.82
115,108,17,pending,2024-05-03,2586359.55
116,14,26,delivered,2024-06-25,912897.9
117,156,70,shipped,2024-10-08,91746.22
118,78,43,delivered,2025-01-14,384045.7
119,34,10,delivered,2024-08-03,102771.57
120,151,26,shipped,2024-12-28,5161165.09
121,150,69,delivered,2024-04-06,180614.91
122,155,57,cancelled,2025-05-12,23189.23
123,49,62,pending,2024-03-21,471616.24
124,140,60,returned,2024-09-29,2780275.86
125,52,68,confirmed,2024-04-05,39540622.4
126,141,63,delivered,2025-02-22,4446052.08
127,144,18,confirmed,2025-02-01,1397871.01
128,112,49,delivered,2024-10-14,164977.5
129,43,20,shipped,2024-04-06,2574126.69
130,145,77,shipped,2025-03-23,2634254.64
131,137,7,delivered,2025-02-18,4094.46
132,144,55,confirmed,2024-06-18,6904924.31
133,1,32,pending,2025-01-21,9095803.08
134,132,15,shipped,2024-10-25,1575333.87
135,57,44,confirmed,2024-03-31,765836.8
136,12,68,confirmed,2024-12-23,1628584.5
137,72,63,delivered,2024-02-26,60872.15
138,64,79,shipped,2024-12-28,4759354.89
139,155,60,cancelled,2025-01-26,587849.81
140,68,29,shipped,2024-12-09,1280761.06
141,15,53,delivered,2024-05-22,429174.4
142,72,52,delivered,2024-11-01,905976.32
143,150,60,cancelled,2024-08-13,36185388.2
144,66,53,delivered,2024-05-15,20573636.69
145,57,56,delivered,2024-12-18,1362267.77
146,102,6,delivered,2025-02-05,2129917.23
147,38,33,confirmed,2024-09-22,194102.58
148,46,61,confirmed,2025-02-07,14292454.39
149,73,4,delivered,2024-04-30,853224.03
150,156,61,shipped,2024-09-05,531947.4
151,104,70,delivered,2025-02-06,492213.11
152,4,63,confirmed,2024-02-10,31208.84
153,4,75,shipped,2024-04-07,21546415.2
154,22,42,pending,2024-12-03,28400.82
155,3,69,shipped,2025-03-24,683024.7
156,22,27,cancelled,2024-11-14,17436.75
157,42,68,pending,2024-06-03,2623241.19
158,69,2,pending,2025-03-28,177323.15
159,140,44,shipped,2025-04-03,16097.35
160,1,15,confirmed,2024-08-15,16996.2
161,74,73,delivered,2025-04-27,7292646.52
162,29,48,confirmed,2024-05-24,1367495.48
163,73,9,shipped,2024-03-31,121171.81
164,22,25,delivered,2024-09-06,86133.31
165,154,51,delivered,2025-05-02,23356661.66
166,78,74,shipped,2024-03-24,2668191.73
167,128,26,cancelled,2025-03-21,102862.65
168,20,10,delivered,2024-04-16,264297.79
169,38,3,delivered,2025-02-03,1250924.33
170,123,4,cancelled,2024-09-05,603267.93
171,72,76,confirmed,2024-04-05,21966.37
172,99,32,delivered,2024-10-03,49211.56
173,106,63,cancelled,2025-03-16,1546235.17
174,63,69,delivered,2024-11-01,1692877.53
175,137,31,delivered,2024-11-23,46301.71
176,135,4,delivered,2024-05-22,44110412.51
177,61,11,pending,2025-04-10,8378.86
178,143,34,cancelled,2024-03-01,47363.15
179,93,11,delivered,2024-04-13,30095.32
180,142,58,pending,2024-05-24,645395.01
181,36,11,delivered,2024-08-11,13562854.21
182,109,44,delivered,2025-01-04,460864.42
183,123,9,confirmed,2024-08-05,14835.2
184,63,69,shipped,2025-03-22,4958.37
185,47,79,delivered,2024-10-27,26273139.09
186,77,79,delivered,2024-09-14,5914209.21
187,4,78,delivered,2025-04-26,12872.95
188,155,38,shipped,2024-02-05,55247.55
189,109,66,shipped,2025-03-30,2430122.57
190,147,76,cancelled,2024-09-03,2933532.28
191,70,78,delivered,2024-04-04,145817.59
192,103,60,delivered,2024-05-04,546492.8
193,144,80,delivered,2024-09-26,35205.55
194,104,24,delivered,2024-08-08,612759.44
195,50,8,delivered,2024-08-03,490046.55
196,86,76,confirmed,2024-11-03,74120.29
197,55,2,confirmed,2024-07-07,467041.22
198,52,41,returned,2024-03-14,528208.12
199,145,25,pending,2024-10-04,101603.83
200,81,78,delivered,2024-07-31,26956.74
201,102,76,delivered,2024-08-18,1084465.64
202,34,79,cancelled,2024-08-26,18881220.61
203,129,70,pending,2024-04-16,259850.15
204,98,66,shipped,2024-02-19,19608967.28
205,39,78,confirmed,2024-12-16,222796.07
206,60,8,delivered,2025-02-27,10179705.4
207,129,29,cancelled,2024-10-24,16169053.97
208,88,13,delivered,2024-08-02,970125.69
209,111,56,shipped,2024-08-16,26402639.25
210,157,61,delivered,2024-11-16,313601.74
211,128,3,shipped,2025-04-20,3372.62
212,23,48,cancelled,2024-04-26,489255.49
213,42,49,confirmed,2024-07-29,85130.05
214,46,79,returned,2024-09-29,111895.05
215,114,75,delivered,2024-11-17,873562.41
216,94,78,cancelled,2024-12-13,135728.68
217,34,17,cancelled,2024-12-15,91640.9
218,96,37,shipped,2024-09-17,11397711.02
219,11,77,shipped,2025-03-10,22735629.64
220,144,8,shipped,2024-06-27,6637.09
221,146,63,delivered,2025-04-22,392458.43
222,24,43,cancelled,2024-10-30,1151053.55
223,120,38,cancelled,2024-03-26,704792.03
224,102,54,pending,2024-07-17,735842.51
225,88,80,delivered,2025-02-13,312064.48
226,72,78,confirmed,2024-09-27,1424.23
227,55,3,delivered,2024-12-03,14487851.67
228,16,47,confirmed,2024-09-29,32753.32
229,55,21,delivered,2024-06-08,32508196.84
230,22,40,shipped,2024-03-12,426703.54
231,116,42,shipped,2025-05-02,9808084.16
232,14,78,shipped,2025-02-19,57902.03
233,51,43,delivered,2024-10-31,1154096.91
234,42,44,delivered,2025-01-19,3304129.36
235,3,50,delivered,2025-02-04,19351986.94
236,158,76,cancelled,2025-03-27,117597.44
237,82,74,delivered,2024-04-15,1550749.59
238,82,44,delivered,2024-10-23,15324597.72
239,116,47,confirmed,2024-11-22,1369611.38
240,56,72,delivered,2024-11-05,1576977.85
241,154,23,returned,2024-05-07,46471.11
242,148,74,shipped,2024-02-08,3817446.24
243,79,34,returned,2024-12-28,619406.78
244,106,76,shipped,2024-11-03,20336.78
245,86,44,confirmed,2024-08-09,619535.16
246,153,41,delivered,2024-06-24,81753.41
247,112,14,delivered,2025-05-08,4370322.59
248,23,63,delivered,2024-02-08,514553.49
249,106,14,cancelled,2024-12-15,92817.53
250,26,14,pending,2025-03-18,8406733.78
251,75,58,delivered,2024-09-19,647058.52
252,30,79,returned,2024-07-28,141617.86
253,119,8,shipped,2025-02-13,702115.98
254,96,20,delivered,2024-06-16,3760.76
255,68,68,cancelled,2024-02-02,5451321.76
256,107,16,shipped,2025-03-10,135302.4
257,133,38,confirmed,2024-07-20,507433.88
258,147,21,confirmed,2024-08-18,1704924.27
259,101,10,shipped,2024-12-21,227970.99
260,45,73,shipped,2024-09-10,2344748.18
261,33,35,shipped,2025-03-07,118869.47
262,67,1,confirmed,2024-05-14,1576125.51
263,7,12,confirmed,2024-11-29,186205.52
264,159,80,delivered,2024-03-11,450168.98
265,7,17,delivered,2024-09-19,19836519.4
266,92,79,shipped,2024-05-23,1040246.73
267,138,27,shipped,2025-03-08,4088683.35
268,67,56,delivered,2024-04-13,11422.8
269,149,50,confirmed,2024-12-01,301144.25
270,37,6,pending,2024-03-18,75488.43
271,93,62,pending,2025-03-13,129484.53
272,19,67,shipped,2025-01-16,991114.92
273,81,14,shipped,2024-05-02,8919515.11
274,46,56,pending,2025-04-12,306875.81
275,88,18,delivered,2024-12-03,3104460.52
276,41,4,confirmed,2024-04-02,6989601.94
277,8,31,confirmed,2025-02-23,23782.96
278,94,44,confirmed,2024-04-10,565896.93
279,33,42,shipped,2024-03-18,65035.51
280,142,49,delivered,2025-03-20,228953.75
281,132,63,delivered,2024-05-11,789410.91
282,72,69,delivered,2025-02-26,479634.54
283,43,48,delivered,2024-10-06,262427.57
284,115,63,shipped,2025-03-23,19377234.45
285,28,61,shipped,2024-11-16,2832240.19
286,17,41,shipped,2024-10-18,1181325.96
287,105,26,cancelled,2024-12-26,12900851.52
288,136,32,delivered,2024-05-02,89273.61
289,110,37,confirmed,2024-03-08,1357896.4
290,96,44,pending,2024-04-02,935571.03
291,3,52,delivered,2024-11-16,2200396.56
292,60,50,confirmed,2024-12-04,804892.49
293,56,50,cancelled,2024-12-07,7253704.22
294,20,31,delivered,2025-02-21,23923080.53
295,82,49,delivered,2024-10-09,15634.56
296,71,58,delivered,2024-04-27,316762.12
297,152,69,pending,2024-06-24,340390.95
298,148,13,returned,2025-04-05,89839.0
299,10,68,pending,2024-12-26,19283656.65
300,121,54,shipped,2024-06-19,29416.32
301,89,63,delivered,2024-07-09,420161.97
302,13,69,delivered,2024-09-19,2451389.33
303,32,57,pending,2024-05-24,6240750.06
304,3,64,delivered,2025-04-16,12867.83
305,112,73,cancelled,2025-02-04,273985.99
306,95,4,delivered,2025-01-17,17946893.32
307,67,10,pending,2024-07-04,9424.89
308,85,66,shipped,2024-08-12,20348339.93
309,44,23,shipped,2024-04-04,2561947.32
310,38,72,shipped,2025-05-03,344752.02
311,115,18,delivered,2024-06-02,640411.19
312,126,69,confirmed,2024-10-04,231724.27
313,68,71,delivered,2024-07-29,124691.89
314,63,56,delivered,2024-05-15,626197.77
315,20,49,confirmed,2025-01-08,83402.4
316,99,61,delivered,2024-05-16,5274810.94
317,136,71,delivered,2024-07-08,104449.88
318,40,35,cancelled,2024-05-22,125417.83
319,99,77,shipped,2025-03-05,433097.62
320,18,18,cancelled,2024-07-06,150982.93
321,148,48,confirmed,2025-04-23,366463.86
322,29,68,shipped,2024-05-05,841123.73
323,122,26,confirmed,2024-06-14,468850.42
324,141,29,shipped,2024-04-17,1739578.02
325,111,40,shipped,2024-06-18,350566.64
326,13,75,confirmed,2024-09-03,4200940.47
327,49,73,delivered,2024-10-28,952250.58
328,133,17,shipped,2024-12-26,22715.3
329,29,2,delivered,2024-02-18,83176.26
330,62,19,cancelled,2024-05-25,408005.94
331,104,19,delivered,2025-02-09,132438.51
332,69,49,shipped,2024-05-14,165337.75
333,74,74,confirmed,2024-02-01,401295.33
334,129,54,delivered,2024-07-05,14350044.94
335,62,3,confirmed,2024-04-25,2014168.98
336,117,40,shipped,2024-09-06,461752.75
337,46,5,delivered,2025-02-23,1077.73
338,153,32,delivered,2024-10-07,100176.15
339,121,51,delivered,2024-11-16,17222.86
340,75,42,confirmed,2025-02-20,89012.73
341,25,70,delivered,2024-07-20,51934.76
342,90,3,shipped,2024-06-08,3398789.75
343,4,32,delivered,2025-05-01,51339.48
344,153,71,delivered,2024-10-22,182168.05
345,6,20,returned,2025-01-02,190124.29
346,92,8,delivered,2025-02-13,75159.03
347,111,69,cancelled,2024-05-09,969508.75
348,97,52,delivered,2025-04-24,541771.44
349,140,41,delivered,2025-05-11,12808920.13
350,85,19,shipped,2024-06-20,353833.99
351,11,51,delivered,2025-04-02,2018381.93
352,111,77,delivered,2025-03-11,77540.61
353,74,51,confirmed,2025-01-15,16186.7
354,39,4,confirmed,2025-01-05,753250.2
355,125,69,delivered,2024-02-07,235774.88
356,56,6,shipped,2024-10-07,323486.08
357,111,32,shipped,2024-02-25,525608.8
358,90,39,delivered,2025-02-27,21120284.79
359,23,71,confirmed,2025-02-09,9363.38
360,150,33,cancelled,2024-09-29,3506197.63
361,64,40,shipped,2024-09-03,7681333.99
362,26,59,delivered,2024-04-28,111556.03
363,83,17,confirmed,2025-02-27,1975669.57
364,35,8,confirmed,2024-07-05,14010625.7
365,146,2,delivered,2024-08-10,77415.35
366,112,3,shipped,2025-01-20,7303.09
367,92,56,returned,2024-09-02,10845.85
368,119,76,shipped,2025-02-26,876947.89
369,36,21,delivered,2024-11-23,103215.57
370,33,77,shipped,2025-04-24,13470356.37
371,101,47,delivered,2024-09-23,286139.79
372,133,3,delivered,2024-06-17,204446.6
373,28,47,delivered,2024-06-27,18424645.67
374,85,77,delivered,2025-01-10,58866.43
375,14,79,delivered,2024-11-13,824062.32
376,127,41,delivered,2024-12-23,1009015.23
377,78,2,delivered,2024-02-03,40037.19
378,160,66,confirmed,2024-01-31,1419626.14
379,31,16,delivered,2024-03-24,135689.99
380,130,68,shipped,2024-04-02,5034631.62
381,124,59,shipped,2024-11-05,49758.45
382,157,66,confirmed,2024-12-11,2576847.62
383,38,39,delivered,2025-03-25,609670.03
384,62,3,confirmed,2024-11-05,10187895.06
385,123,61,delivered,2024-11-27,1375012.89
386,71,19,delivered,2024-03-25,149603.1
387,109,20,delivered,2024-04-01,16979.08
388,3,49,cancelled,2024-12-29,172602.09
389,159,68,returned,2024-07-30,597671.34
390,120,58,shipped,2024-04-21,85131.31
391,129,79,shipped,2024-10-25,1114021.91
392,17,2,delivered,2024-12-31,846617.16
393,87,3,shipped,2024-04-11,11948114.3
394,78,69,delivered,2024-12-26,511006.52
395,121,61,cancelled,2025-01-27,13446036.92
396,135,39,cancelled,2024-11-27,749716.2
397,90,45,pending,2024-03-05,5156710.8
398,41,74,cancelled,2024-10-12,1652.88
399,122,50,cancelled,2025-03-19,933467.59
400,61,14,delivered,2024-08-14,18486.49
401,108,50,pending,2024-03-29,758920.08
402,19,48,pending,2025-04-05,3357419.97
403,45,21,confirmed,2024-08-11,737676.08
404,147,41,delivered,2024-10-08,23346.77
405,74,73,delivered,2024-09-09,313049.58
406,50,31,confirmed,2025-01-07,4320069.85
407,9,47,delivered,2024-08-02,1609835.39
408,146,3,delivered,2025-01-14,637275.16
409,136,8,delivered,2024-11-18,168949.06
410,129,32,delivered,2024-11-12,50436.11
411,18,29,pending,2025-04-22,178419.17
412,21,48,delivered,2024-03-31,11705212.83
413,14,13,delivered,2024-05-24,530276.54
414,75,9,delivered,2024-03-05,8722962.4
415,41,69,delivered,2024-06-02,223969.58
416,157,76,delivered,2024-02-29,2758887.62
417,29,29,delivered,2024-06-13,1398251.46
418,9,38,cancelled,2024-07-20,5866915.1
419,16,64,shipped,2025-02-09,23644.15
420,16,38,cancelled,2024-11-14,1704566.08
421,10,18,delivered,2024-12-02,307903.22
422,21,76,delivered,2024-06-17,6796656.45
423,27,59,shipped,2024-12-28,4902033.15
424,123,1,pending,2024-02-28,18486.46
425,51,68,delivered,2025-01-14,22772271.4
426,5,76,shipped,2025-02-26,5680485.2
427,33,21,confirmed,2024-04-10,41536346.96
428,31,26,delivered,2024-07-24,111372.24
429,15,59,confirmed,2024-02-05,649411.1
430,138,22,delivered,2024-02-07,510720.18
431,64,69,delivered,2024-04-04,565991.81
432,73,25,cancelled,2024-12-31,17962.1
433,75,36,confirmed,2025-01-01,15314579.68
434,20,69,delivered,2024-05-15,26597.44
435,92,2,delivered,2024-08-05,952329.98
436,75,44,shipped,2024-06-15,43365.04
437,139,34,shipped,2025-05-06,542528.35
438,160,41,confirmed,2025-05-11,13868.34
439,134,74,confirmed,2024-05-17,8387.05
440,37,59,delivered,2024-12-28,1017749.93
441,30,4,shipped,2024-06-17,1952888.83
442,99,10,delivered,2025-04-12,319747.2
443,127,1,confirmed,2024-02-22,4703324.82
444,98,59,delivered,2024-02-26,1148333.81
445,9,40,delivered,2025-05-10,31829.24
446,87,54,shipped,2024-02-14,4826917.18
447,160,11,delivered,2025-02-10,466575.35
448,28,1,shipped,2025-01-12,7886084.97
449,137,69,delivered,2024-11-16,2393821.61
450,67,41,confirmed,2024-05-31,32909.77
451,4,69,returned,2024-03-14,2395612.88
452,139,44,delivered,2024-02-19,81443.01
453,93,42,delivered,2024-12-30,620189.48
454,156,62,shipped,2025-01-03,286197.13
455,68,65,pending,2024-09-12,2360972.6
456,10,20,confirmed,2024-11-10,647450.88
457,15,51,delivered,2024-12-08,74133.0
458,17,17,shipped,2025-03-08,34795.4
459,127,48,delivered,2024-04-15,1001231.5
460,13,21,delivered,2024-05-04,808913.21
461,113,51,confirmed,2025-02-01,352467.93
462,67,23,delivered,2025-04-14,112242.51
463,139,52,confirmed,2024-07-28,476191.68
464,130,68,confirmed,2024-05-31,553789.26
465,147,44,shipped,2024-12-24,21778701.3
466,73,17,shipped,2025-03-09,369289.07
467,105,49,delivered,2024-06-29,229121.59
468,42,60,cancelled,2024-04-16,122896.02
469,7,60,delivered,2024-07-09,16249923.93
470,131,10,shipped,2024-05-20,266387.6
471,150,16,delivered,2024-08-13,7811388.91
472,21,69,delivered,2024-11-20,9909.35
473,108,23,delivered,2025-04-24,31669732.59
474,14,61,delivered,2024-10-23,2964325.31
475,69,15,shipped,2024-06-03,91744.3
476,93,74,delivered,2024-03-30,15407.41
477,114,68,delivered,2024-07-29,7730602.44
478,20,11,delivered,2024-05-27,443962.07
479,108,34,cancelled,2024-04-04,17068476.48
480,63,48,confirmed,2025-01-05,11839.39
481,67,77,confirmed,2024-03-31,37047.9
482,108,35,cancelled,2024-12-19,235170.91
483,51,51,shipped,2024-04-01,4282723.06
484,142,63,delivered,2024-04-04,8646805.99
485,111,21,confirmed,2024-03-08,10799130.39
486,136,45,delivered,2024-08-23,5095296.55
487,62,63,delivered,2025-05-04,3808980.11
488,87,23,pending,2025-02-03,2747353.03
489,91,13,delivered,2025-02-13,5143139.73
490,75,33,confirmed,2025-02-09,237037.72
491,151,38,pending,2025-05-03,228038.71
492,152,38,shipped,2024-08-12,36388031.35
493,46,40,confirmed,2025-03-01,3917526.66
494,77,53,cancelled,2024-10-22,1339735.42
495,149,40,shipped,2024-08-14,736874.0
496,46,17,cancelled,2025-02-10,406584.67
497,54,21,delivered,2025-04-25,20141872.59
498,26,18,shipped,2024-06-26,1317958.97
499,113,15,shipped,2025-05-14,34436.86
500,156,72,shipped,2025-01-06,13884.06
501,25,38,confirmed,2025-02-20,7861555.93
502,154,56,pending,2024-05-09,12609960.48
503,7,38,shipped,2024-11-18,1351625.38
504,114,16,cancelled,2024-06-30,304755.45
505,31,68,delivered,2024-03-15,5518243.24
506,72,58,delivered,2024-07-30,37521146.77
507,57,79,shipped,2024-10-16,763354.57
508,117,45,pending,2025-03-03,19889627.51
509,81,15,delivered,2025-01-26,1345319.38
510,82,4,delivered,2025-04-24,21212633.91
511,3,27,cancelled,2025-04-21,157547.98
512,51,5,confirmed,2025-03-22,10732.81
513,128,6,confirmed,2025-04-23,26299.45
514,133,58,pending,2024-09-09,420068.19
515,143,57,shipped,2024-02-19,1071781.58
516,68,21,delivered,2024-05-30,200355.09
517,124,46,shipped,2025-04-24,772497.5
518,60,19,delivered,2025-03-13,722814.75
519,154,9,confirmed,2024-03-20,2949509.27
520,74,42,shipped,2025-01-04,4015854.66
521,46,69,delivered,2024-07-26,1217677.36
522,33,42,delivered,2025-04-17,3504044.81
523,106,1,delivered,2024-06-16,37842.27
524,105,77,delivered,2024-06-12,1480457.87
525,106,19,cancelled,2024-06-12,141761.12
526,69,41,delivered,2024-12-21,142939.3
527,79,13,confirmed,2025-04-23,4732635.43
528,53,55,delivered,2024-12-10,32477924.39
529,34,80,pending,2025-02-03,748257.83
530,98,79,delivered,2024-07-29,10519504.09
531,142,50,shipped,2024-05-17,33769130.2
532,51,80,confirmed,2025-02-01,18496864.89
533,42,57,delivered,2024-11-09,1332391.05
534,4,59,confirmed,2024-10-26,514433.25
535,102,69,shipped,2024-06-23,6152846.49
536,59,1,delivered,2024-06-18,22659110.17
537,97,43,delivered,2025-02-13,4995936.24
538,22,69,delivered,2025-01-25,4895.11
539,107,4,delivered,2024-11-03,191860.8
540,39,54,confirmed,2024-08-18,143278.51
541,156,11,pending,2025-02-14,392098.3
542,71,17,delivered,2024-12-31,658344.49
543,97,19,delivered,2024-08-26,133195.32
544,124,39,shipped,2024-06-04,41160112.6
545,128,79,delivered,2025-02-24,8620872.45
546,28,77,shipped,2024-02-12,35092.98
547,60,28,delivered,2024-03-26,76747.83
548,86,17,delivered,2024-03-19,20948332.6
549,54,71,shipped,2024-04-12,4053870.12
550,122,4,shipped,2025-02-23,7849830.69
